file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,connections
line_398,0.22511322058000002,22.66127,2.794,0.167564,0,0.0,1.5025666406212303e-05,0,398
line_367,0.21565696045999996,24.97847,2.732,0.2001759999999999,0,0.0,1.551285436000715e-05,0,367
line_332,0.20957316164000003,27.27136,2.662,0.227756,0,0.0,1.5939859964223385e-05,0,332
line_149,0.18810139267999998,36.26514,2.296,0.2123839999999999,0,0.0,1.0049976688107995e-05,0,149
line_63,0.1809885309,39.07779,2.124,0.1126239999999999,0,0.0,6.478991761747478e-06,0,63
line_36,0.17936422902000002,39.67204,2.07,0.0691,0,0.0,5.745938399776062e-06,0,36
line_273,0.20035762231999998,30.64498,2.544,0.252064,0,0.0,1.629577233140312e-05,0,273
line_226,0.19475010398000003,33.0064,2.45,0.2515,0,0.0,1.6337523170514356e-05,0,226
line_351,0.21248905612000002,26.05545,2.7,0.214,0,0.0,1.5726857707650524e-05,0,351
line_304,0.20477322099999995,28.93466,2.606,0.242764,0,0.0,1.6164820525669233e-05,0,304
line_475,0.26327333772,14.94522,2.948,0.053296,0,0.0,1.362631117476291e-05,0,475
line_420,0.23268381702000002,20.82762,2.838,0.139756,0,0.0,1.4639700840481366e-05,0,420
line_64,0.18108271778000007,39.07307,2.126,0.1141239999999999,0,0.0,6.50878933512555e-06,0,64
line_31,0.17812966883999998,39.78165,2.06,0.0603999999999999,0,0.0,5.623912834846365e-06,0,31
line_274,0.20042764812000002,30.58241,2.546,0.251884,0,0.0,1.6293224028692798e-05,0,274
line_221,0.19430464947999998,33.23784,2.44,0.2504,0,0.0,1.5921212606668204e-05,0,221
line_356,0.21374105933999998,25.70914,2.71,0.2099,0,0.0,1.5663183325436387e-05,0,356
line_303,0.20464406358000004,28.9893,2.604,0.243184,0,0.0,1.6170887048470802e-05,0,303
line_472,0.26077195402,15.33491,2.942,0.058636,0,0.0,1.368130188468252e-05,0,472
line_427,0.2352344714599999,20.2069,2.852,0.130096,0,0.0,1.451264597739136e-05,0,427
line_109,0.18501249282,37.70789,2.216,0.173344,0,0.0,8.095900167345165e-06,0,109
line_467,0.25733167896,15.96847,2.932,0.067376,0,0.0,1.3773309156900364e-05,0,467
line_432,0.23709064824,19.7522,2.862,0.122956,0,0.0,1.4421072750653622e-05,0,432
line_498,0.28594038229999996,11.3867,2.994,0.009964,0,0.0,1.3212225119706556e-05,0,498
line_343,0.21120285271999997,26.59481,2.684,0.220144,0,0.0,1.582227730233035e-05,0,343
line_316,0.20617295086,28.25158,2.63,0.2370999999999999,0,0.0,1.6081550478554467e-05,0,316
line_71,0.18231504680000002,38.8515,2.14,0.1243999999999999,0,0.0,6.723249563225349e-06,0,71
line_24,0.17824175391999997,39.86822,2.046,0.047884,0,0.0,5.4595026757357824e-06,0,24
line_261,0.19869081213999998,31.26924,2.52,0.2536,0,0.0,1.6319260467197633e-05,0,261
line_234,0.19586342686,32.62214,2.466,0.252844,0,0.0,1.633713938200047e-05,0,234
line_460,0.25277550583999997,16.80869,2.918,0.079276,0,0.0,1.3902699132376722e-05,0,460
line_435,0.23859183023999994,19.45479,2.868,0.1185759999999999,0,0.0,1.436587332371622e-05,0,435
line_344,0.21160276831999997,26.50214,2.686,0.219404,0,0.0,1.58107964284606e-05,0,344
line_311,0.20570749837999994,28.54915,2.62,0.2396,0,0.0,1.6118617394236894e-05,0,311
line_89,0.18337395884000002,38.34661,2.176,0.149024,0,0.0,7.325991830201512e-06,0,89
line_76,0.18205999986,38.74923,2.15,0.1315,0,0.0,6.882991784290848e-06,0,76
line_23,0.17822601568000002,39.87616,2.044,0.046064,0,0.0,5.436605294067337e-06,0,23
line_299,0.20415342836,29.22684,2.596,0.244784,0,0.0,1.6193843020540856e-05,0,299
line_266,0.19932833370000003,31.01642,2.53,0.2531,0,0.0,1.631098571401103e-05,0,266
line_233,0.19514544796000002,32.67139,2.464,0.252704,0,0.0,1.6337241889369743e-05,0,233
