file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity
d39_1,0.37429198726,8.5792,39.0,0.0,0.0,0.0,0.6947238347765303,0.0372064777327935
d68_2,0.37602924204000004,8.5363,68.0,0.0,0.0,0.0,0.7691290028711173,0.0659683933274802
d71_9,0.37666357212,8.51887,71.0,0.0,0.0,0.0,0.7728158599324616,0.0690398390342052
d64_9,0.3763039306,8.53715,64.0,0.0,0.0,0.0,0.7643889480597161,0.0621964285714285
d75_2,0.37667881513999996,8.52421,75.0,0.0,0.0,0.0,0.7829184570640653,0.0731459459459459
d60_2,0.37690315141999997,8.53699,60.0,0.0,0.0,0.0,0.7521884691069284,0.0581949152542372
d79_9,0.37719678197999995,8.52374,79.0,0.0,0.0,0.0,0.7861034519616178,0.0776991236611489
d22_7,0.37061265707999996,8.65813,22.0,0.0,0.0,0.0,0.5902830170243796,0.0204545454545454
d37_7,0.3733703858,8.58668,37.0,0.0,0.0,0.0,0.6846254955021889,0.0354504504504504
d66_4,0.37681350682,8.5339,66.0,0.0,0.0,0.0,0.7655490381845438,0.06406993006993
d73_4,0.3767917473,8.5179,73.0,0.0,0.0,0.0,0.7785537924303872,0.0708378995433789
d31_1,0.37210137538000004,8.60579,31.0,0.0,0.0,0.0,0.6558780768426102,0.0282
d24_1,0.37032932648,8.64313,24.0,0.0,0.0,0.0,0.6088824810958978,0.0228586956521739
d22_0,0.36921966118000005,8.65893,22.0,0.0,0.0,0.0,0.5940346716180415,0.0195714285714285
d37_0,0.37360072476,8.57595,37.0,0.0,0.0,0.0,0.6814365333874877,0.0356801801801801
d75_5,0.3769082489800001,8.51361,75.0,0.0,0.0,0.0,0.78112153090012,0.0731372972972973
d60_5,0.3769452261000001,8.51888,60.0,0.0,0.0,0.0,0.7537248423369723,0.0579457627118644
d31_6,0.37268855328000006,8.59981,31.0,0.0,0.0,0.0,0.6560341700101285,0.0296258064516129
d24_6,0.37055405958,8.63626,24.0,0.0,0.0,0.0,0.6088959911311752,0.0214021739130434
d66_3,0.3765667097,8.52607,66.0,0.0,0.0,0.0,0.7644803136920459,0.0641902097902097
d73_3,0.37594685580000003,8.53448,73.0,0.0,0.0,0.0,0.7774050356644517,0.0710639269406392
d11_2,0.35969562396,8.85238,11.0,0.0,0.0,0.0,0.4325565077742248,0.0094363636363636
d46_7,0.37443770669999993,8.56144,46.0,0.0,0.0,0.0,0.7188559515740056,0.0440927536231884
d53_7,0.37586466133999996,8.5361,53.0,0.0,0.0,0.0,0.7411676979263307,0.0508432510885341
d95_8,0.37702156976,8.51609,95.0,0.0,0.0,0.0,0.8052512415725726,0.0933090705487122
d80_8,0.37679261234000005,8.52909,80.0,0.0,0.0,0.0,0.7881278296875471,0.0783778481012658
d17_4,0.3669550439,8.70797,17.0,0.0,0.0,0.0,0.536791409164107,0.0150661764705882
d55_1,0.37544577665999995,8.54264,55.0,0.0,0.0,0.0,0.7428303874541916,0.0528141414141414
d40_1,0.3733391515,8.5745,40.0,0.0,0.0,0.0,0.6993706919311213,0.0379846153846153
d46_0,0.37493948122000004,8.56823,46.0,0.0,0.0,0.0,0.718407049517993,0.0442608695652173
d53_0,0.3758443846600001,8.54733,53.0,0.0,0.0,0.0,0.7374095197155135,0.0509172714078374
d11_5,0.35823111156,8.83835,11.0,0.0,0.0,0.0,0.4355821056901047,0.0092181818181818
d55_6,0.37618713159999995,8.53543,55.0,0.0,0.0,0.0,0.7403082487912438,0.053010101010101
d40_6,0.37473023971999997,8.56934,40.0,0.0,0.0,0.0,0.6979126884720321,0.03835
d17_3,0.36534927923999994,8.70876,17.0,0.0,0.0,0.0,0.5387471903737558,0.0149779411764705
d86_9,0.37668701316,8.51595,86.0,0.0,0.0,0.0,0.7964053936309313,0.0844473324213406
d93_9,0.37640134524,8.53153,93.0,0.0,0.0,0.0,0.8042062962901014,0.0910918653576437
d83_3,0.37717469578,8.51307,83.0,0.0,0.0,0.0,0.7924572099813151,0.0809735527475756
d96_3,0.37835062698,8.49655,96.0,0.0,0.0,0.0,0.8103847180830318,0.0943361842105263
d12_9,0.36041170866,8.83631,12.0,0.0,0.0,0.0,0.4563828762151173,0.0105454545454545
d49_7,0.37514147048,8.56495,49.0,0.0,0.0,0.0,0.7275417572514997,0.0476989795918367
d90_5,0.37726146099999996,8.52023,90.0,0.0,0.0,0.0,0.8026636986140447,0.0882711610486891
d85_5,0.3772013091,8.50804,85.0,0.0,0.0,0.0,0.7962838162785407,0.0828613445378151
d18_4,0.36723535515999994,8.69409,18.0,0.0,0.0,0.0,0.5483384525239521,0.0168627450980392
d83_4,0.37699806762,8.51774,83.0,0.0,0.0,0.0,0.7938689307647946,0.0810599471054951
d96_4,0.37756856020000007,8.50516,96.0,0.0,0.0,0.0,0.81119589641649,0.0939835526315789
d49_0,0.37498640534,8.56745,49.0,0.0,0.0,0.0,0.7281280258340331,0.0473698979591836
d89_9,0.37739569358,8.52044,89.0,0.0,0.0,0.0,0.8021567547410843,0.0874588866189989
d90_2,0.3774583915800001,8.52495,90.0,0.0,0.0,0.0,0.8024057769303717,0.0886299625468164
d85_2,0.37770144863999994,8.52527,85.0,0.0,0.0,0.0,0.7950390120926577,0.0835605042016806
d18_3,0.36710099870000007,8.69591,18.0,0.0,0.0,0.0,0.5510779027184499,0.0161960784313725
d14_8,0.36285243424,8.77355,14.0,0.0,0.0,0.0,0.491873978606109,0.013087912087912
d63_9,0.37591721526,8.53733,63.0,0.0,0.0,0.0,0.7611552317150103,0.0614715821812596
d76_9,0.37667480786,8.51238,76.0,0.0,0.0,0.0,0.7830291704427058,0.0741157894736842
d38_7,0.3729859590599999,8.585,38.0,0.0,0.0,0.0,0.6869887179580313,0.0361877667140825
d6_0,0.34057317862,9.17515,6.0,0.0,0.0,0.0,0.2632863327504505,0.0046
d69_4,0.37656503778,8.54233,69.0,0.0,0.0,0.0,0.7699136395409699,0.067193094629156
d38_0,0.37383477097999995,8.57695,38.0,0.0,0.0,0.0,0.6854156382170569,0.0365334281650071
d6_7,0.3399374295,9.28009,6.0,0.0,0.0,0.0,0.2550645844249192,0.0048
d69_3,0.37618411966,8.535,69.0,0.0,0.0,0.0,0.7726623290597305,0.067042199488491
d70_8,0.37642427394,8.52907,70.0,0.0,0.0,0.0,0.7737976366379457,0.0684583850931677
d65_8,0.37643190426,8.53535,65.0,0.0,0.0,0.0,0.761969375675788,0.0631096153846153
d74_3,0.37697216268000006,8.52644,74.0,0.0,0.0,0.0,0.7802457839359718,0.0723865235098111
d61_3,0.37595654968,8.52876,61.0,0.0,0.0,0.0,0.7547939782552046,0.0592672131147541
d78_8,0.3763118439200001,8.52812,78.0,0.0,0.0,0.0,0.7853062798289543,0.0762507492507492
d23_6,0.36970517587999996,8.64414,23.0,0.0,0.0,0.0,0.6027739325624023,0.0212490118577075
d36_6,0.3734197578399999,8.58826,36.0,0.0,0.0,0.0,0.6830246137195662,0.0341666666666666
d8_1,0.35094739804,8.988,8.0,0.0,0.0,0.0,0.3466526421123914,0.0069642857142857
d67_5,0.37643164688,8.53383,67.0,0.0,0.0,0.0,0.7682473445622288,0.0659579375848032
d72_5,0.3771088803000001,8.50982,72.0,0.0,0.0,0.0,0.7793429593468977,0.0701584507042253
d30_0,0.37152196664000003,8.60535,30.0,0.0,0.0,0.0,0.6497844740110409,0.0274965517241379
d25_0,0.37062901299999995,8.63133,25.0,0.0,0.0,0.0,0.614559390838703,0.02352
d23_1,0.36955827943999997,8.63864,23.0,0.0,0.0,0.0,0.5950827104115876,0.0210237154150197
d36_1,0.37367008974,8.59226,36.0,0.0,0.0,0.0,0.6821203886639036,0.0341333333333333
d74_4,0.37613068003999994,8.51833,74.0,0.0,0.0,0.0,0.7807491888231766,0.0719278045168456
d61_4,0.37598142743999996,8.54111,61.0,0.0,0.0,0.0,0.7548924187840748,0.0589672131147541
d8_6,0.3509544695,8.99048,8.0,0.0,0.0,0.0,0.3436324511712221,0.0058928571428571
d30_7,0.37243683332,8.60576,30.0,0.0,0.0,0.0,0.649561761396613,0.0276965517241379
d25_7,0.37048344423999996,8.62561,25.0,0.0,0.0,0.0,0.6176239863588899,0.02292
d67_2,0.37639517567999997,8.53045,67.0,0.0,0.0,0.0,0.7662026618994333,0.064797829036635
d72_2,0.37643904195999994,8.52907,72.0,0.0,0.0,0.0,0.7764726164380236,0.070300469483568
d94_9,0.37650089894,8.51487,94.0,0.0,0.0,0.0,0.8061855721361567,0.0925017158544955
d81_9,0.37682165333999995,8.51511,81.0,0.0,0.0,0.0,0.7912083936053936,0.0790953703703703
d10_3,0.35587738428,8.91275,10.0,0.0,0.0,0.0,0.405464674017073,0.0082666666666666
d47_6,0.3759526202200001,8.5485,47.0,0.0,0.0,0.0,0.7179028127579511,0.045477335800185
d52_6,0.3754256484,8.54573,52.0,0.0,0.0,0.0,0.73539868791704,0.0501199095022624
d16_5,0.36537081916,8.72157,16.0,0.0,0.0,0.0,0.525166882487656,0.01475
d54_0,0.37615291819999996,8.53454,54.0,0.0,0.0,0.0,0.7400683986990946,0.0518050314465408
d41_0,0.37364872935999993,8.57628,41.0,0.0,0.0,0.0,0.6987164767346028,0.0389195121951219
d47_1,0.374928914,8.5502,47.0,0.0,0.0,0.0,0.7222622313616675,0.0453718778908418
